"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97867","Validate Find Doctor Flow -- @1.3 ","","2026-05-24","passed","2026-05-24","","","",""
"","44645","Validate Find Doctor Flow -- @1.1 ","","2026-05-24","passed","2026-05-24","","","",""
"","45843","Validate Find Doctor Flow -- @1.2 ","","2026-05-24","passed","2026-05-24","","","",""
"","71458","Successful Appointment Booking","","2026-05-24","passed","2026-05-24","","","",""
